Name|Projected BB%
Aaron Judge|0.174
Juan Soto|0.154
Edouard Julien|0.148
Kyle Schwarber|0.148
Brandon Belt|0.14
Ryan Noda|0.139
Jack Suwinski|0.137
Mookie Betts|0.135
LaMonte Wade Jr.|0.132
Andrew McCutchen|0.132
Max Muncy|0.131
Lars Nootbaar|0.131
Joey Gallo|0.131
Mike Trout|0.129
Mitch Garver|0.129
Robbie Grossman|0.128
Shohei Ohtani|0.127
Yordan Alvarez|0.126
Matt Olson|0.126
Triston Casas|0.126
Matt Chapman|0.125
Trent Grisham|0.125
J.P. Crawford|0.124
Cavan Biggio|0.121
Daniel Vogelbach|0.121
Ian Happ|0.12
Will Benson|0.12
Mike Tauchman|0.12
Nolan Jones|0.119
J.J. Bleday|0.119
Matt Thaiss|0.117
Mike Yastrzemski|0.117
Sean Murphy|0.117
Ronald Acuna Jr.|0.116
Patrick Wisdom|0.116
Alex Bregman|0.116
Paul Goldschmidt|0.114
Adley Rutschman|0.114
Nolan Gorman|0.114
Kyle Tucker|0.114
Yandy Diaz|0.114
Taylor Walls|0.114
Bryce Harper|0.113
Aaron Hicks|0.113
Alex Call|0.113
Joc Pederson|0.113
Jorge Soler|0.113
Miguel Vargas|0.113
Geraldo Perdomo|0.112
Nathaniel Lowe|0.112
James Outman|0.112
Brandon Nimmo|0.112
Ha-seong Kim|0.111
Tommy Pham|0.111
Seiya Suzuki|0.111
Randy Arozarena|0.111
Brandon Marsh|0.111
Christian Yelich|0.11
Connor Joe|0.11
Eugenio Suarez|0.11
Spencer Torkelson|0.108
Giancarlo Stanton|0.108
Jonathan India|0.108
Chris Taylor|0.106
Pete Alonso|0.105
Adolis Garcia|0.104
Ryan McMahon|0.104
Jorge Polanco|0.104
Dansby Swanson|0.104
Ketel Marte|0.104
Byron Buxton|0.104
Michael Conforto|0.103
William Contreras|0.103
Max Kepler|0.103
Marcell Ozuna|0.103
Jace Peterson|0.103
DJ LeMahieu|0.103
MJ Melendez|0.103
Rowdy Tellez|0.102
Will Smith|0.102
Akil Baddoo|0.102
Carlos Santana|0.101
Brent Rooker|0.101
Freddie Freeman|0.1
Marcus Semien|0.1
Taylor Ward|0.099
Carlos Correa|0.099
Spencer Steer|0.099
Gunnar Henderson|0.099
Brandon Lowe|0.099
Jake Rogers|0.099
Josh Bell|0.098
Christian Walker|0.098
Francisco Lindor|0.097
Corey Seager|0.097
Francisco Alvarez|0.097
Willy Adames|0.097
Christopher Morel|0.097
Gleyber Torres|0.097
Ryan Jeffers|0.097
Brian Anderson|0.096
J.D. Davis|0.096
Mark Canha|0.096
Austin Riley|0.096
Tyler Stephenson|0.096
Willson Contreras|0.096
Riley Greene|0.096
Jarred Kelenic|0.095
Andruw Monasterio|0.095
Jose Ramirez|0.095
Vladimir Guerrero Jr.|0.095
Alejandro Kirk|0.095
George Springer|0.095
Brendan Donovan|0.094
Bryan Reynolds|0.094
Matt McLain|0.094
Steven Kwan|0.094
Jesus Sanchez|0.093
Tony Kemp|0.093
Danny Jansen|0.093
Jurickson Profar|0.093
Cal Raleigh|0.093
Jazz Chisholm Jr.|0.092
Cedric Mullins II|0.092
Chas McCormick|0.091
Jose Altuve|0.091
Zack Gelof|0.091
Wander Franco|0.09
Isaac Paredes|0.09
Rafael Devers|0.09
Maikel Garcia|0.09
Manny Machado|0.09
Alex Verdugo|0.09
Ramon Laureano|0.09
Nick Pratto|0.09
Kris Bryant|0.09
Corbin Carroll|0.09
Luis Rengifo|0.089
Wilmer Flores|0.089
Jason Heyward|0.089
Xander Bogaerts|0.089
Jeimer Candelario|0.089
Anthony Volpe|0.089
Zach McKinstry|0.089
Charlie Blackmon|0.087
T.J. Friedl|0.087
Blake Sabol|0.086
Joey Wiemer|0.086
Brandon Crawford|0.086
Justin Turner|0.086
Jon Berti|0.086
Seth Brown|0.086
J.D. Martinez|0.086
Brett Baty|0.086
Yasmani Grandal|0.086
Orlando Arcia|0.086
Jake Meyers|0.084
Drew Waters|0.084
Jake Fraley|0.084
Jake Cronenworth|0.084
Fernando Tatis Jr.|0.084
Michael A. Taylor|0.084
Patrick Bailey|0.083
Myles Straw|0.083
Donovan Solano|0.083
Matt Vierling|0.083
Gabriel Moreno|0.082
Zach Neto|0.082
Luke Raley|0.082
Alex Kirilloff|0.082
Shea Langeliers|0.082
Daulton Varsho|0.082
Brice Turang|0.082
Josh Rojas|0.082
Jonah Heim|0.081
Elly De La Cruz|0.081
Miguel Cabrera|0.081
Isiah Kiner-Falefa|0.08
J.T. Realmuto|0.08
Nick Senzel|0.08
Anthony Santander|0.08
Dominic Smith|0.079
Andrew Benintendi|0.079
Lane Thomas|0.079
Masataka Yoshida|0.079
Gavin Sheets|0.079
Ji Hwan Bae|0.079
Oswaldo Cabrera|0.078
Anthony Rizzo|0.078
Gabriel Arias|0.078
Ramon Urias|0.078
Austin Hays|0.078
Yoan Moncada|0.078
Enrique Hernandez|0.077
Martin Maldonado|0.077
Bobby Witt Jr.|0.077
Corey Julks|0.076
Leody Taveras|0.076
Tommy Edman|0.076
Jordan Walker|0.076
Adam Duvall|0.075
Jake McCarthy|0.075
Josh Jung|0.075
Willi Castro|0.075
Kerry Carpenter|0.075
Kevin Kiermaier|0.075
Nick Fortes|0.074
Hunter Renfroe|0.074
Lourdes Gurriel Jr.|0.074
Ryan Mountcastle|0.074
Jake Burger|0.073
Bryan De La Cruz|0.073
Adam Frazier|0.073
Teoscar Hernandez|0.073
Cody Bellinger|0.073
Alec Bohm|0.073
Yuli Gurriel|0.073
Andrew Vaughn|0.072
Bryson Stott|0.072
Ke'Bryan Hayes|0.071
Jarren Duran|0.071
Elvis Andrus|0.071
Kyle Isbel|0.071
Edward Olivares|0.071
Jose Abreu|0.07
Josh Lowe|0.07
Nolan Arenado|0.07
Andy Ibanez|0.07
Nico Hoerner|0.069
Julio Rodriguez|0.069
Ryan O'Hearn|0.069
Kyle Farmer|0.069
Trea Turner|0.069
Brenton Doyle|0.069
Ozzie Albies|0.069
Jose Siri|0.069
Joey Meneses|0.068
Manuel Margot|0.067
Alec Burleson|0.067
Luis Garcia|0.067
Ty France|0.067
Michael Massey|0.067
Randal Grichuk|0.067
Garrett Cooper|0.067
Jorge Mateo|0.067
Brandon Drury|0.066
Eloy Jimenez|0.066
Jeremy Pena|0.064
Connor Wong|0.064
Luis Robert|0.064
Nick Allen|0.064
Mike Moustakas|0.064
Jeff McNeil|0.064
Christian Vazquez|0.064
Luis Arraez|0.063
Elias Diaz|0.063
Miguel Rojas|0.063
Paul DeJong|0.063
Owen Miller|0.062
Josh Naylor|0.062
Alek Thomas|0.061
Whit Merrifield|0.061
CJ Abrams|0.061
Yan Gomes|0.06
Ezequiel Duran|0.059
Eduardo Escobar|0.059
Harrison Bader|0.059
Jean Segura|0.059
Nick Castellanos|0.059
Keibert Ruiz|0.059
Michael Harris II|0.058
Bo Bichette|0.058
David Peralta|0.058
Eddie Rosario|0.057
Starling Marte|0.056
Aledmys Diaz|0.056
Joey Wendle|0.055
Tim Anderson|0.054
Esteury Ruiz|0.054
Andres Gimenez|0.052
Thairo Estrada|0.051
Amed Rosario|0.048
Elehuris Montero|0.047
Ezequiel Tovar|0.046
Yainer Diaz|0.046
Mauricio Dubon|0.042
Mickey Moniak|0.042
Javier Baez|0.042
Harold Ramirez|0.041
Will Brennan|0.041
Christian Bethancourt|0.041
