Name|Projected wRC+
Ronald Acuna Jr.|159
Mookie Betts|135
Freddie Freeman|128
Matt Olson|149
Shohei Ohtani|140
Marcus Semien|113
Corey Seager|136
Corbin Carroll|125
Francisco Lindor|120
Julio Rodriguez|122
Bobby Witt Jr.|123
Juan Soto|146
William Contreras|119
Aaron Judge|144
Austin Riley|124
Jose Ramirez|121
Adley Rutschman|123
Luis Robert|106
Kyle Tucker|132
J.P. Crawford|120
Dansby Swanson|105
Adolis Garcia|119
Yandy Diaz|139
Cal Raleigh|113
Nico Hoerner|105
Wander Franco|129
Gunnar Henderson|128
Yordan Alvarez|145
T.J. Friedl|102
Will Smith|123
James Outman|103
Xander Bogaerts|102
Fernando Tatis Jr.|120
Ha-seong Kim|105
Isaac Paredes|113
Brandon Nimmo|121
Alex Bregman|120
Sean Murphy|123
Ketel Marte|124
Cody Bellinger|110
Christian Yelich|115
Jonah Heim|108
Jose Altuve|109
Ozzie Albies|117
Michael Harris II|116
Bryson Stott|105
Thairo Estrada|92
Chas McCormick|109
Josh Lowe|113
Christian Walker|110
Bo Bichette|118
Trea Turner|98
Nolan Jones|120
Paul Goldschmidt|116
Andres Gimenez|92
Ian Happ|115
Manny Machado|116
Matt Chapman|127
Luis Arraez|111
Brandon Marsh|115
Willy Adames|96
Marcell Ozuna|121
Bryce Harper|117
Jeimer Candelario|107
Randy Arozarena|119
Matt McLain|111
Seiya Suzuki|127
Gleyber Torres|121
Lars Nootbaar|118
Ke'Bryan Hayes|111
Eugenio Suarez|102
Rafael Devers|135
Mike Trout|132
Zack Gelof|111
Max Muncy|111
Steven Kwan|96
Edouard Julien|117
Pete Alonso|117
Jack Suwinski|119
Brandon Lowe|108
Jeremy Pena|91
Patrick Bailey|93
Ryan Jeffers|122
Lane Thomas|105
Jose Siri|90
Francisco Alvarez|113
Geraldo Perdomo|100
Luke Raley|107
Max Kepler|122
Anthony Santander|119
Nolan Arenado|100
Jeff McNeil|102
Wilmer Flores|112
Josh Naylor|119
Jake Burger|110
Nolan Gorman|120
Brandon Drury|102
Josh Jung|109
Willi Castro|100
Jarren Duran|112
Willson Contreras|114
Brandon Belt|107
Riley Greene|120
Bryan Reynolds|111
Orlando Arcia|102
Leody Taveras|109
Tommy Edman|102
J.D. Martinez|108
Jason Heyward|109
Kerry Carpenter|110
Austin Hays|98
Kevin Kiermaier|84
J.D. Davis|102
George Springer|111
Jake Rogers|99
Mitch Garver|123
Spencer Steer|113
LaMonte Wade Jr.|116
Brendan Donovan|118
Nathaniel Lowe|116
Lourdes Gurriel Jr.|109
Jon Berti|94
CJ Abrams|106
Daulton Varsho|104
Yainer Diaz|109
Brent Rooker|108
Danny Jansen|113
Ryan Noda|109
Alex Verdugo|108
Jorge Soler|120
Adam Duvall|97
Luis Rengifo|107
Jazz Chisholm Jr.|102
Connor Joe|109
Chris Taylor|100
Mauricio Dubon|92
Maikel Garcia|116
Anthony Volpe|101
Harold Ramirez|99
Mike Yastrzemski|113
Tommy Pham|107
Teoscar Hernandez|99
Mike Tauchman|108
Cedric Mullins II|108
Will Benson|112
Triston Casas|131
Ryan Mountcastle|110
Gabriel Moreno|105
Carlos Santana|103
Michael A. Taylor|91
Elly De La Cruz|109
Jake Meyers|86
Trent Grisham|109
Mark Canha|102
Andy Ibanez|101
