Name|wRC+
Ronald Acuna Jr.|150
Mookie Betts|138
Freddie Freeman|126
Matt Olson|137
Shohei Ohtani|148
Marcus Semien|112
Corey Seager|138
Corbin Carroll|120
Francisco Lindor|115
Julio Rodriguez|118
Bobby Witt Jr.|121
Juan Soto|144
William Contreras|118
Aaron Judge|157
Austin Riley|120
Jose Ramirez|120
Adley Rutschman|125
Luis Robert|115
Kyle Tucker|132
J.P. Crawford|115
Dansby Swanson|108
Adolis Garcia|117
Yandy Diaz|127
Cal Raleigh|111
Nico Hoerner|104
Wander Franco|124
Gunnar Henderson|118
Yordan Alvarez|150
T.J. Friedl|106
Will Smith|115
James Outman|108
Xander Bogaerts|109
Fernando Tatis Jr.|115
Ha-seong Kim|106
Isaac Paredes|118
Brandon Nimmo|114
Alex Bregman|119
Sean Murphy|127
Ketel Marte|117
Cody Bellinger|115
Christian Yelich|112
Jonah Heim|107
Jose Altuve|119
Ozzie Albies|116
Michael Harris II|116
Bryson Stott|105
Thairo Estrada|94
Chas McCormick|113
Josh Lowe|114
Christian Walker|114
Bo Bichette|114
Trea Turner|102
Nolan Jones|124
Paul Goldschmidt|111
Andres Gimenez|103
Ian Happ|115
Manny Machado|113
Matt Chapman|116
Luis Arraez|120
Brandon Marsh|109
Willy Adames|109
Marcell Ozuna|125
Bryce Harper|131
Jeimer Candelario|107
Randy Arozarena|119
Matt McLain|112
Seiya Suzuki|115
Gleyber Torres|120
Lars Nootbaar|121
Ke'Bryan Hayes|104
Eugenio Suarez|101
Rafael Devers|124
Mike Trout|120
Zack Gelof|116
Max Muncy|117
Steven Kwan|108
Edouard Julien|122
Pete Alonso|121
Jack Suwinski|119
Brandon Lowe|110
Jeremy Pena|98
Patrick Bailey|96
Ryan Jeffers|116
Lane Thomas|102
Jose Siri|96
Francisco Alvarez|113
Geraldo Perdomo|105
Luke Raley|107
Max Kepler|116
Anthony Santander|110
Nolan Arenado|104
Jeff McNeil|99
Wilmer Flores|118
Josh Naylor|120
Jake Burger|116
Nolan Gorman|120
Brandon Drury|102
Josh Jung|105
Willi Castro|103
Jarren Duran|100
Willson Contreras|116
Brandon Belt|111
Riley Greene|114
Bryan Reynolds|112
Orlando Arcia|103
Leody Taveras|104
Tommy Edman|101
