"Name","Projected K%"
"Bobby Dalbec","0.464"
"Brett Phillips","0.453"
"Trey Cabbage","0.417"
"Trayce Thompson","0.402"
"Mike Zunino","0.4"
"Joey Gallo","0.398"
"Sam Hilliard","0.396"
"Taylor Trammell","0.387"
"Jared Walsh","0.383"
"Everson Pereira","0.371"
"Wade Meckler","0.37"
"Nick Pratto","0.366"
"Jo Adell","0.363"
"Jason Vosler","0.354"
"Luke Voit","0.351"
"Kyle Lewis","0.349"
"Ryan Noda","0.346"
"Franchy Cordero","0.345"
"Romy Gonzalez","0.344"
"Jose Siri","0.343"
"David Hensley","0.341"
"Elehuris Montero","0.337"
"Seby Zavala","0.336"
"Nate Eaton","0.336"
"Garrett Mitchell","0.335"
"Trevor Larnach","0.335"
"Franmil Reyes","0.334"
"Wil Myers","0.333"
"Brandon Dixon","0.333"
"Patrick Wisdom","0.332"
"Brenton Doyle","0.328"
"Michael Toglia","0.327"
"David Villar","0.327"
"Jake Bauers","0.326"
"Blake Sabol","0.326"
"Brent Rooker","0.325"
"Dylan Moore","0.324"
"Brandon Belt","0.324"
"Evan Carter","0.324"
"Mickey Moniak","0.323"
"Martin Maldonado","0.322"
"Taylor Motter","0.322"
"Kevin Smith","0.319"
"Gabriel Arias","0.318"
"Davis Schneider","0.318"
"Chad Wallach","0.318"
"Chris Taylor","0.317"
"Avisail Garcia","0.317"
"Rene Pinto","0.317"
"Luke Raley","0.315"
"Michael Chavis","0.315"
"James Outman","0.315"
"Michael A. Taylor","0.314"
"Jake Rogers","0.314"
"Jazz Chisholm Jr.","0.312"
"Christopher Morel","0.309"
"Jack Suwinski","0.309"
"Tim Locastro","0.309"
"Andrew Velazquez","0.308"
"Mike Ford","0.308"
"Nolan Gorman","0.308"
"Zach Remillard","0.307"
"Connor Wong","0.307"
"Alika Williams","0.306"
"Matt Mervis","0.306"
"Yu Chang","0.306"
"Hunter Goodman","0.306"
"Heliot Ramos","0.305"
"Will Benson","0.304"
"Edouard Julien","0.304"
"Matt Wallner","0.304"
"Trevor Story","0.304"
"Elly De La Cruz","0.304"
"Hunter Dozier","0.303"
"Jarred Kelenic","0.303"
"Samad Taylor","0.303"
"Tyler Soderstrom","0.303"
"Michael Busch","0.302"
"Cade Marlowe","0.302"
"Giancarlo Stanton","0.301"
"Ryan McMahon","0.301"
"Eugenio Suarez","0.301"
"Jared Triolo","0.301"
"Teoscar Hernandez","0.301"
"Tucker Barnhart","0.3"
"Kyle Schwarber","0.3"
"Luken Baker","0.3"
"Aaron Judge","0.3"
"D.J. Stewart","0.3"
"J.D. Martinez","0.299"
"Mark Vientos","0.299"
"Darin Ruf","0.298"
"Nelson Cruz","0.298"
"Estevan Florial","0.297"
"Paul DeJong","0.297"
"Drew Waters","0.297"
"Brayan Rocchio","0.296"
"Bubba Thompson","0.295"
"Byron Buxton","0.295"
"Jordan Luplow","0.294"
"Liover Peguero","0.293"
"Jose Barrero","0.293"
"Conner Capel","0.293"
"Nolan Jones","0.293"
"Rodolfo Castro","0.292"
"Adam Duvall","0.291"
"Ryan McKenna","0.291"
"Brian Anderson","0.29"
"Evan Longoria","0.289"
"Shea Langeliers","0.289"
"Cristian Pache","0.288"
"Jackson Frazier","0.287"
"Brett Wisely","0.287"
"Alfonso Rivas","0.287"
"Yoan Moncada","0.287"
"Stone Garrett","0.286"
"Joey Wiemer","0.286"
"Ceddanne Rafaela","0.286"
"Nelson Velazquez","0.285"
"Brandon Marsh","0.285"
"Matt Carpenter","0.284"
"Carter Kieboom","0.284"
"MJ Melendez","0.284"
"Trey Mancini","0.283"
"Brett Baty","0.282"
"Tomas Nido","0.282"
"Ji-Man Choi","0.282"
"Nick Gonzales","0.282"
"Austin Slater","0.281"
"Wilyer Abreu","0.281"
"Korey Lee","0.28"
"J.D. Davis","0.279"
"Stuart Fairchild","0.279"
"Zack Gelof","0.279"
"Tom Murphy","0.278"
"Matt Chapman","0.278"
"Mitch Haniger","0.278"
"Luis Robert","0.278"
"Ramon Laureano","0.278"
"Jonathan Aranda","0.277"
"Jake Burger","0.277"
"Matt McLain","0.277"
"Nick Castellanos","0.276"
"Kyle Higashioka","0.276"
"Matt Thaiss","0.275"
"Lawrence Butler","0.275"
"Jake Lamb","0.275"
"Juan Yepez","0.275"
"Jackie Bradley Jr.","0.274"
"Jonathan Davis","0.273"
"Christian Bethancourt","0.273"
"Garrett Cooper","0.273"
"Josh Jung","0.272"
"Colton Cowser","0.272"
"Trent Grisham","0.272"
