"Name","Projected wRC+"
"Ronald Acuna Jr.","159"
"Aaron Judge","158"
"Yordan Alvarez","147"
"Shohei Ohtani","146"
"Juan Soto","143"
"Mookie Betts","142"
"Matt Olson","142"
"Corey Seager","141"
"Yandy Diaz","134"
"Kyle Tucker","132"
"Vladimir Guerrero Jr.","131"
"Rafael Devers","129"
"Triston Casas","128"
"Austin Riley","126"
"Mike Trout","126"
"Sean Murphy","125"
"Freddie Freeman","125"
"Bryce Harper","125"
"Bobby Witt Jr.","125"
"Jose Ramirez","124"
"Spencer Torkelson","124"
"Seiya Suzuki","124"
"Marcell Ozuna","124"
"Matt Chapman","124"
"Wander Franco","124"
"Gunnar Henderson","124"
"Adley Rutschman","123"
"Joc Pederson","123"
"Jorge Soler","122"
"Jack Suwinski","122"
"Gleyber Torres","122"
"Nolan Gorman","122"
"Julio Rodriguez","122"
"Riley Greene","122"
"Nolan Jones","121"
"Corbin Carroll","121"
"Mitch Garver","121"
"William Contreras","120"
"Ketel Marte","120"
"Max Kepler","120"
"MJ Melendez","120"
"Kyle Schwarber","120"
"Alex Bregman","119"
"Edouard Julien","119"
"Francisco Lindor","119"
"LaMonte Wade Jr.","119"
"Fernando Tatis Jr.","118"
"Michael Harris II","118"
"Adolis Garcia","118"
"Josh Naylor","118"
"Ryan Jeffers","118"
"Brandon Nimmo","118"
"Bryan Reynolds","117"
"Brandon Marsh","117"
"Will Smith","117"
"Lars Nootbaar","117"
"Christopher Morel","117"
"Manny Machado","116"
"Pete Alonso","116"
"Brendan Donovan","116"
"Randy Arozarena","116"
"Ian Happ","115"
"Ozzie Albies","115"
"Willson Contreras","115"
"Max Muncy","115"
"Ke'Bryan Hayes","115"
"Ryan Noda","115"
"J.P. Crawford","114"
"Marcus Semien","114"
"Jake Burger","114"
"Luis Arraez","114"
"Paul Goldschmidt","114"
"Bo Bichette","114"
"Taylor Ward","114"
"Daniel Vogelbach","114"
"Jordan Walker","114"
"Ryan Mountcastle","114"
"Christian Yelich","114"
"Spencer Steer","113"
"Jonathan India","113"
"Matt McLain","113"
"J.D. Martinez","113"
"Brent Rooker","113"
"Alex Verdugo","112"
"Ryan O'Hearn","112"
"Yainer Diaz","112"
"Tommy Pham","112"
"Anthony Santander","112"
"Will Benson","112"
"Patrick Wisdom","112"
"Christian Walker","112"
"Alec Bohm","111"
"Wilmer Flores","111"
"Maikel Garcia","111"
"Francisco Alvarez","111"
"Alec Burleson","111"
"Cody Bellinger","111"
"Jesus Sanchez","111"
"Alejandro Kirk","110"
"Jorge Polanco","110"
"Leody Taveras","110"
"Nathaniel Lowe","110"
"Carlos Correa","110"
"Josh Lowe","110"
"Andrew Vaughn","110"
"Josh Jung","110"
"Cal Raleigh","110"
"Jarred Kelenic","110"
"Byron Buxton","109"
"Masataka Yoshida","109"
"Josh Bell","109"
"Jonah Heim","109"
"Luis Rengifo","109"
"Connor Joe","109"
"Trent Grisham","109"
"Andrew McCutchen","109"
"Brandon Lowe","109"
"Jarren Duran","109"
"Kerry Carpenter","109"
"Zack Gelof","109"
"Lourdes Gurriel Jr.","108"
"Gabriel Moreno","108"
"Luis Robert","108"
"Joey Gallo","108"
"Eloy Jimenez","108"
"Luis Garcia","107"
"George Springer","107"
"Isaac Paredes","107"
"Mike Yastrzemski","107"
"Danny Jansen","107"
"Keibert Ruiz","107"
"Bryan De La Cruz","106"
"Matt Vierling","106"
"Rowdy Tellez","106"
"Giancarlo Stanton","106"
"Zach Neto","106"
"Jason Heyward","106"
"Chas McCormick","106"
"Ezequiel Duran","105"
"Robbie Grossman","105"
"Ryan McMahon","105"
